Names,director_no_movie,director_avg_rating,director_avg_votes,director_age,nm_id
Christopher Nolan,16,7.7375,835870.75,52,nm0634240
Quentin Tarantino,20,7.655,532712.45,59,nm0000233
Michael Bay,21,5.980952381,203257.3333,57,nm0000881
Zack Snyder,16,6.9125,266281.3125,56,nm0811583
Baz Poonpiriya,8,7.54286,3030,41,nm5464371
Poj Arnon,33,4.581818182,138.7878788,51,nm1547925
Apichatpong Weerasethakul,42,6.223809524,1007.166667,52,nm0917405
Charles Chaplin,72,6.583333333,15032.88889,133,nm0000122
James Cameron,19,7.278947368,282417.3158,68,nm0000116
George Lucas,21,6.471428571,174657,78,nm0000184
David Yates,24,6.75,139476.25,59,nm0946734
